epoch: 0   train_acc: 0.5406  train_loss: 1.5120 test_acc: 0.6315  test_loss: 1.0318
epoch: 1   train_acc: 0.6593  train_loss: 1.3429 test_acc: 0.6552  test_loss: 0.9904
epoch: 2   train_acc: 0.7088  train_loss: 1.2610 test_acc: 0.6672  test_loss: 0.9736
epoch: 3   train_acc: 0.7660  train_loss: 1.1931 test_acc: 0.6793  test_loss: 0.9695
epoch: 4   train_acc: 0.8001  train_loss: 1.1178 test_acc: 0.6849  test_loss: 0.9462
epoch: 5   train_acc: 0.8464  train_loss: 1.0878 test_acc: 0.6892  test_loss: 0.9252
epoch: 6   train_acc: 0.8663  train_loss: 1.0663 test_acc: 0.6922  test_loss: 0.9331
epoch: 7   train_acc: 0.8931  train_loss: 0.9895 test_acc: 0.6841  test_loss: 0.9419
epoch: 8   train_acc: 0.9338  train_loss: 0.9698 test_acc: 0.6966  test_loss: 0.9406
epoch: 9   train_acc: 0.9355  train_loss: 0.9620 test_acc: 0.6914  test_loss: 0.9439
epoch: 10   train_acc: 0.8556  train_loss: 1.0581 test_acc: 0.6573  test_loss: 1.0251
epoch: 11   train_acc: 0.8908  train_loss: 1.0292 test_acc: 0.6634  test_loss: 1.0156
epoch: 12   train_acc: 0.8767  train_loss: 1.0204 test_acc: 0.6677  test_loss: 0.9861
epoch: 13   train_acc: 0.9207  train_loss: 0.9550 test_acc: 0.6720  test_loss: 1.0065
epoch: 14   train_acc: 0.9298  train_loss: 0.9579 test_acc: 0.6690  test_loss: 0.9912
epoch: 15   train_acc: 0.9395  train_loss: 0.9257 test_acc: 0.6677  test_loss: 0.9987
epoch: 16   train_acc: 0.9498  train_loss: 0.8922 test_acc: 0.6586  test_loss: 1.0104
epoch: 17   train_acc: 0.9491  train_loss: 0.9090 test_acc: 0.6651  test_loss: 0.9997
epoch: 18   train_acc: 0.9527  train_loss: 0.9229 test_acc: 0.6728  test_loss: 1.0141
epoch: 19   train_acc: 0.9605  train_loss: 0.8814 test_acc: 0.6746  test_loss: 1.0203
epoch: 20   train_acc: 0.9747  train_loss: 0.8582 test_acc: 0.6828  test_loss: 0.9850
epoch: 21   train_acc: 0.9586  train_loss: 0.8713 test_acc: 0.6772  test_loss: 1.0077
epoch: 22   train_acc: 0.9571  train_loss: 0.8576 test_acc: 0.6776  test_loss: 0.9997
epoch: 23   train_acc: 0.9759  train_loss: 0.8591 test_acc: 0.6797  test_loss: 0.9978
epoch: 24   train_acc: 0.9617  train_loss: 0.8629 test_acc: 0.6776  test_loss: 0.9989
epoch: 25   train_acc: 0.9758  train_loss: 0.8439 test_acc: 0.6858  test_loss: 0.9744
epoch: 26   train_acc: 0.9798  train_loss: 0.8388 test_acc: 0.6853  test_loss: 0.9961
epoch: 27   train_acc: 0.9841  train_loss: 0.8454 test_acc: 0.6836  test_loss: 0.9910
epoch: 28   train_acc: 0.9611  train_loss: 0.8444 test_acc: 0.6866  test_loss: 0.9861
epoch: 29   train_acc: 0.9703  train_loss: 0.8485 test_acc: 0.6815  test_loss: 0.9833
epoch: 30   train_acc: 0.9540  train_loss: 0.8838 test_acc: 0.6591  test_loss: 1.0474
epoch: 31   train_acc: 0.9401  train_loss: 0.9352 test_acc: 0.6405  test_loss: 1.0800
epoch: 32   train_acc: 0.9473  train_loss: 0.8900 test_acc: 0.6647  test_loss: 1.0345
epoch: 33   train_acc: 0.9674  train_loss: 0.8787 test_acc: 0.6599  test_loss: 1.0461
epoch: 34   train_acc: 0.9470  train_loss: 0.8862 test_acc: 0.6629  test_loss: 1.0304
