lr: 0.0004   dataset: AF7
epoch: 0   train_acc: 0.5216  train_loss: 1.5315 test_acc: 0.6160  test_loss: 1.1068
epoch: 1   train_acc: 0.6048  train_loss: 1.4129 test_acc: 0.6323  test_loss: 1.0538
epoch: 2   train_acc: 0.6294  train_loss: 1.3736 test_acc: 0.6411  test_loss: 1.0431
epoch: 3   train_acc: 0.6587  train_loss: 1.3364 test_acc: 0.6426  test_loss: 1.0322
epoch: 4   train_acc: 0.6822  train_loss: 1.3028 test_acc: 0.6517  test_loss: 1.0175
epoch: 5   train_acc: 0.7092  train_loss: 1.2690 test_acc: 0.6480  test_loss: 1.0018
epoch: 6   train_acc: 0.7235  train_loss: 1.2502 test_acc: 0.6511  test_loss: 1.0006
epoch: 7   train_acc: 0.7432  train_loss: 1.2180 test_acc: 0.6494  test_loss: 0.9953
epoch: 8   train_acc: 0.7497  train_loss: 1.2051 test_acc: 0.6500  test_loss: 0.9996
epoch: 9   train_acc: 0.7550  train_loss: 1.2024 test_acc: 0.6551  test_loss: 1.0011
epoch: 10   train_acc: 0.7223  train_loss: 1.2581 test_acc: 0.6400  test_loss: 1.0414
epoch: 11   train_acc: 0.7437  train_loss: 1.2378 test_acc: 0.6357  test_loss: 1.0310
epoch: 12   train_acc: 0.7598  train_loss: 1.2156 test_acc: 0.6360  test_loss: 1.0310
epoch: 13   train_acc: 0.7764  train_loss: 1.1929 test_acc: 0.6346  test_loss: 1.0434
epoch: 14   train_acc: 0.7958  train_loss: 1.1622 test_acc: 0.6394  test_loss: 1.0627
epoch: 15   train_acc: 0.8096  train_loss: 1.1470 test_acc: 0.6326  test_loss: 1.0555
epoch: 16   train_acc: 0.8438  train_loss: 1.1084 test_acc: 0.6391  test_loss: 1.0624
epoch: 17   train_acc: 0.8465  train_loss: 1.0985 test_acc: 0.6340  test_loss: 1.0585
epoch: 18   train_acc: 0.8503  train_loss: 1.0824 test_acc: 0.6283  test_loss: 1.0719
epoch: 19   train_acc: 0.8747  train_loss: 1.0556 test_acc: 0.6297  test_loss: 1.0804
epoch: 20   train_acc: 0.8732  train_loss: 1.0470 test_acc: 0.6357  test_loss: 1.0710
epoch: 21   train_acc: 0.8983  train_loss: 1.0067 test_acc: 0.6329  test_loss: 1.0795
epoch: 22   train_acc: 0.9015  train_loss: 1.0067 test_acc: 0.6306  test_loss: 1.0910
epoch: 23   train_acc: 0.8831  train_loss: 1.0191 test_acc: 0.6346  test_loss: 1.0824
epoch: 24   train_acc: 0.8965  train_loss: 1.0012 test_acc: 0.6309  test_loss: 1.0810
epoch: 25   train_acc: 0.9141  train_loss: 0.9706 test_acc: 0.6349  test_loss: 1.0828
epoch: 26   train_acc: 0.9164  train_loss: 0.9667 test_acc: 0.6317  test_loss: 1.0923
epoch: 27   train_acc: 0.9049  train_loss: 0.9807 test_acc: 0.6329  test_loss: 1.0831
epoch: 28   train_acc: 0.9151  train_loss: 0.9639 test_acc: 0.6309  test_loss: 1.0855
epoch: 29   train_acc: 0.9170  train_loss: 0.9654 test_acc: 0.6309  test_loss: 1.0856
epoch: 30   train_acc: 0.8807  train_loss: 1.0401 test_acc: 0.6266  test_loss: 1.0803
epoch: 31   train_acc: 0.8803  train_loss: 1.0595 test_acc: 0.6320  test_loss: 1.0879
epoch: 32   train_acc: 0.8821  train_loss: 1.0460 test_acc: 0.6283  test_loss: 1.0864
epoch: 33   train_acc: 0.8886  train_loss: 1.0399 test_acc: 0.6274  test_loss: 1.0968
epoch: 34   train_acc: 0.8946  train_loss: 1.0307 test_acc: 0.6277  test_loss: 1.0986
epoch: 35   train_acc: 0.8885  train_loss: 1.0412 test_acc: 0.6263  test_loss: 1.0998
epoch: 36   train_acc: 0.8916  train_loss: 1.0237 test_acc: 0.6180  test_loss: 1.1225
epoch: 37   train_acc: 0.9019  train_loss: 1.0023 test_acc: 0.6140  test_loss: 1.1253
epoch: 38   train_acc: 0.9066  train_loss: 0.9986 test_acc: 0.6234  test_loss: 1.1146
epoch: 39   train_acc: 0.9030  train_loss: 0.9898 test_acc: 0.6260  test_loss: 1.1183
epoch: 40   train_acc: 0.9003  train_loss: 0.9973 test_acc: 0.6257  test_loss: 1.1235
epoch: 41   train_acc: 0.9058  train_loss: 0.9859 test_acc: 0.6191  test_loss: 1.1422
epoch: 42   train_acc: 0.9065  train_loss: 0.9747 test_acc: 0.6203  test_loss: 1.1319
epoch: 43   train_acc: 0.9053  train_loss: 0.9729 test_acc: 0.6246  test_loss: 1.1233
epoch: 44   train_acc: 0.9243  train_loss: 0.9547 test_acc: 0.6163  test_loss: 1.1380
epoch: 45   train_acc: 0.9212  train_loss: 0.9467 test_acc: 0.6260  test_loss: 1.1325
epoch: 46   train_acc: 0.9130  train_loss: 0.9573 test_acc: 0.6231  test_loss: 1.1323
epoch: 47   train_acc: 0.9245  train_loss: 0.9401 test_acc: 0.6217  test_loss: 1.1368
epoch: 48   train_acc: 0.9289  train_loss: 0.9373 test_acc: 0.6240  test_loss: 1.1274
epoch: 49   train_acc: 0.9289  train_loss: 0.9249 test_acc: 0.6169  test_loss: 1.1284
