lr: 0.0003   dataset: RAF
epoch: 0   train_acc: 0.6292  train_loss: 1.4022 test_acc: 0.8207  test_loss: 0.6859
epoch: 1   train_acc: 0.8115  train_loss: 1.1168 test_acc: 0.8605  test_loss: 0.5892
epoch: 2   train_acc: 0.8334  train_loss: 1.0783 test_acc: 0.8735  test_loss: 0.5060
epoch: 3   train_acc: 0.8621  train_loss: 1.0330 test_acc: 0.8846  test_loss: 0.4900
epoch: 4   train_acc: 0.8870  train_loss: 0.9920 test_acc: 0.8892  test_loss: 0.4805
epoch: 5   train_acc: 0.9179  train_loss: 0.9603 test_acc: 0.8970  test_loss: 0.4544
epoch: 6   train_acc: 0.8803  train_loss: 0.9666 test_acc: 0.9029  test_loss: 0.4508
epoch: 7   train_acc: 0.9044  train_loss: 0.9760 test_acc: 0.9022  test_loss: 0.4573
epoch: 8   train_acc: 0.9322  train_loss: 0.9346 test_acc: 0.9025  test_loss: 0.4529
epoch: 9   train_acc: 0.9209  train_loss: 0.9453 test_acc: 0.9025  test_loss: 0.4470
epoch: 10   train_acc: 0.9144  train_loss: 0.9598 test_acc: 0.8928  test_loss: 0.4741
epoch: 11   train_acc: 0.8979  train_loss: 0.9718 test_acc: 0.9019  test_loss: 0.4694
epoch: 12   train_acc: 0.8929  train_loss: 0.9390 test_acc: 0.8996  test_loss: 0.4614
epoch: 13   train_acc: 0.9211  train_loss: 0.9227 test_acc: 0.9055  test_loss: 0.4442
epoch: 14   train_acc: 0.9439  train_loss: 0.9190 test_acc: 0.9035  test_loss: 0.4365
epoch: 15   train_acc: 0.9501  train_loss: 0.8886 test_acc: 0.9051  test_loss: 0.4308
epoch: 16   train_acc: 0.9548  train_loss: 0.8695 test_acc: 0.9048  test_loss: 0.4423
epoch: 17   train_acc: 0.9568  train_loss: 0.8782 test_acc: 0.9035  test_loss: 0.4404
epoch: 18   train_acc: 0.9435  train_loss: 0.8899 test_acc: 0.9094  test_loss: 0.4502
epoch: 19   train_acc: 0.9271  train_loss: 0.9183 test_acc: 0.9032  test_loss: 0.5084
epoch: 20   train_acc: 0.9710  train_loss: 0.8581 test_acc: 0.9094  test_loss: 0.4329
epoch: 21   train_acc: 0.9460  train_loss: 0.8699 test_acc: 0.9068  test_loss: 0.4302
epoch: 22   train_acc: 0.9599  train_loss: 0.8553 test_acc: 0.9074  test_loss: 0.4433
epoch: 23   train_acc: 0.9527  train_loss: 0.8743 test_acc: 0.9100  test_loss: 0.4406
epoch: 24   train_acc: 0.9591  train_loss: 0.8635 test_acc: 0.9097  test_loss: 0.4325
epoch: 25   train_acc: 0.9563  train_loss: 0.8615 test_acc: 0.9084  test_loss: 0.4337
epoch: 26   train_acc: 0.9396  train_loss: 0.8519 test_acc: 0.9091  test_loss: 0.4381
epoch: 27   train_acc: 0.9723  train_loss: 0.8297 test_acc: 0.9107  test_loss: 0.4359
epoch: 28   train_acc: 0.9630  train_loss: 0.8504 test_acc: 0.9087  test_loss: 0.4363
epoch: 29   train_acc: 0.9189  train_loss: 0.8815 test_acc: 0.9097  test_loss: 0.4413
epoch: 30   train_acc: 0.9562  train_loss: 0.8593 test_acc: 0.9009  test_loss: 0.4577
epoch: 31   train_acc: 0.9493  train_loss: 0.8691 test_acc: 0.9065  test_loss: 0.4307
epoch: 32   train_acc: 0.9498  train_loss: 0.8476 test_acc: 0.9025  test_loss: 0.4448
epoch: 33   train_acc: 0.9665  train_loss: 0.8573 test_acc: 0.9012  test_loss: 0.4486
epoch: 34   train_acc: 0.9653  train_loss: 0.8604 test_acc: 0.8980  test_loss: 0.4657
epoch: 35   train_acc: 0.9606  train_loss: 0.8612 test_acc: 0.8960  test_loss: 0.4329
epoch: 36   train_acc: 0.9715  train_loss: 0.8334 test_acc: 0.9065  test_loss: 0.4413
epoch: 37   train_acc: 0.9628  train_loss: 0.8568 test_acc: 0.9016  test_loss: 0.4311
epoch: 38   train_acc: 0.9527  train_loss: 0.8530 test_acc: 0.9032  test_loss: 0.4575
epoch: 39   train_acc: 0.9661  train_loss: 0.8312 test_acc: 0.9055  test_loss: 0.4390
epoch: 40   train_acc: 0.9682  train_loss: 0.8246 test_acc: 0.9065  test_loss: 0.4651
epoch: 41   train_acc: 0.9600  train_loss: 0.8421 test_acc: 0.9078  test_loss: 0.4388
epoch: 42   train_acc: 0.9701  train_loss: 0.8461 test_acc: 0.9048  test_loss: 0.4567
epoch: 43   train_acc: 0.9636  train_loss: 0.8391 test_acc: 0.9078  test_loss: 0.4454
epoch: 44   train_acc: 0.9592  train_loss: 0.8495 test_acc: 0.9032  test_loss: 0.4361
epoch: 45   train_acc: 0.9525  train_loss: 0.8319 test_acc: 0.9032  test_loss: 0.4400
epoch: 46   train_acc: 0.9816  train_loss: 0.8087 test_acc: 0.9074  test_loss: 0.4438
epoch: 47   train_acc: 0.9778  train_loss: 0.8185 test_acc: 0.9094  test_loss: 0.4390
epoch: 48   train_acc: 0.9565  train_loss: 0.8293 test_acc: 0.9074  test_loss: 0.4448
epoch: 49   train_acc: 0.9725  train_loss: 0.8181 test_acc: 0.9084  test_loss: 0.4360
epoch: 50   train_acc: 0.9877  train_loss: 0.8019 test_acc: 0.9130  test_loss: 0.4391
epoch: 51   train_acc: 0.9700  train_loss: 0.8034 test_acc: 0.9094  test_loss: 0.4417
epoch: 52   train_acc: 0.9647  train_loss: 0.8330 test_acc: 0.9071  test_loss: 0.4368
epoch: 53   train_acc: 0.9555  train_loss: 0.8450 test_acc: 0.9104  test_loss: 0.4416
epoch: 54   train_acc: 0.9822  train_loss: 0.8020 test_acc: 0.9130  test_loss: 0.4429
epoch: 55   train_acc: 0.9546  train_loss: 0.8237 test_acc: 0.9087  test_loss: 0.4446
